[2025-08-08 03:08:02,602] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:08:02.601895'}
[2025-08-08 03:08:18,391] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:08:18.391482'}
[2025-08-08 03:10:07,889] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:10:07.888997'}
[2025-08-08 03:10:12,468] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'quick_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:10:12.468756'}
[2025-08-08 03:10:18,185] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:10:18.185433'}
[2025-08-08 03:18:09,790] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:18:09.790813'}
[2025-08-08 03:18:09,819] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'quick_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:18:09.819070'}
[2025-08-08 03:18:09,833] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:18:09.833678'}
[2025-08-08 03:18:09,899] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:18:09.899300'}
[2025-08-08 03:20:05,199] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:20:05.199967'}
[2025-08-08 03:24:51,081] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:24:51.080925'}
[2025-08-08 03:25:13,023] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:25:13.023156'}
